source_type,path,is_door,group
model,assets/models/walls/arches/wall_arched.gltf,no,walls
model,assets/models/walls/arches/wall_archedwindow_open.gltf,no,walls
model,assets/models/walls/corners/barrier_corner.gltf,no,walls
model,assets/models/walls/corners/fence_corner.glb,no,walls
model,assets/models/walls/corners/wall_corner.gltf,no,walls
model,assets/models/walls/corners/wall_corner_scaffold.gltf,no,walls
model,assets/models/walls/corners/wall_corner_small.gltf,no,walls
model,assets/models/walls/doors/fence_gate.glb,yes,doors
model,assets/models/walls/doors/wall_archedwindow_gated.gltf,yes,doors
model,assets/models/walls/doors/wall_archedwindow_gated_scaffold.gltf,yes,doors
model,assets/models/walls/doors/wall_corner_gated.gltf,yes,doors
model,assets/models/walls/doors/wall_doorway.gltf,yes,doors
model,assets/models/walls/doors/wall_doorway_scaffold.gltf,yes,doors
model,assets/models/walls/doors/wall_doorway_sides.gltf,yes,doors
model,assets/models/walls/doors/wall_doorway_Tsplit.gltf,yes,doors
model,assets/models/walls/doors/wall_gated.gltf,yes,doors
model,assets/models/walls/misc/stairs_walled.gltf,no,walls
model,assets/models/walls/misc/stairs_wall_left.gltf,no,walls
model,assets/models/walls/misc/stairs_wall_right.gltf,no,walls
model,assets/models/walls/misc/wall_broken.gltf,no,walls
model,assets/models/walls/misc/wall_cracked.gltf,no,walls
model,assets/models/walls/misc/wall_crossing.gltf,no,walls
model,assets/models/walls/misc/wall_endcap.gltf,no,walls
model,assets/models/walls/misc/wall.gltf,no,walls
model,assets/models/walls/misc/wall_half_endcap.gltf,no,walls
model,assets/models/walls/misc/wall_half_endcap_sloped.gltf,no,walls
model,assets/models/walls/misc/wall_half.gltf,no,walls
model,assets/models/walls/misc/wall_open_scaffold.gltf,no,walls
model,assets/models/walls/misc/wall_pillar.gltf,no,walls
model,assets/models/walls/misc/wall_scaffold.gltf,no,walls
model,assets/models/walls/misc/wall_shelves.gltf,no,walls
model,assets/models/walls/misc/wall_sloped.gltf,no,walls
model,assets/models/walls/misc/wall_Tsplit.gltf,no,walls
model,assets/models/walls/misc/wall_Tsplit_sloped.gltf,no,walls
model,assets/models/walls/misc/wall_window_closed.gltf,no,walls
model,assets/models/walls/misc/wall_window_closed_scaffold.gltf,no,walls
model,assets/models/walls/misc/wall_window_open.gltf,no,walls
model,assets/models/walls/misc/wall_window_open_scaffold.gltf,no,walls
model,assets/models/walls/stone/cliff_blockSlopeHalfWalls_rock.glb,no,walls
model,assets/models/walls/stone/cliff_blockSlopeHalfWalls_stone.glb,no,walls
model,assets/models/walls/stone/cliff_blockSlopeWalls_rock.glb,no,walls
model,assets/models/walls/stone/cliff_blockSlopeWalls_stone.glb,no,walls
model,assets/models/walls/stone/cliff_cornerInnerLarge_rock.glb,no,walls
model,assets/models/walls/stone/cliff_cornerInnerLarge_stone.glb,no,walls
model,assets/models/walls/stone/cliff_cornerInner_rock.glb,no,walls
model,assets/models/walls/stone/cliff_cornerInner_stone.glb,no,walls
model,assets/models/walls/stone/cliff_cornerInnerTop_rock.glb,no,walls
model,assets/models/walls/stone/cliff_cornerInnerTop_stone.glb,no,walls
model,assets/models/walls/stone/cliff_cornerLarge_rock.glb,no,walls
model,assets/models/walls/stone/cliff_cornerLarge_stone.glb,no,walls
model,assets/models/walls/stone/cliff_corner_rock.glb,no,walls
model,assets/models/walls/stone/cliff_corner_stone.glb,no,walls
model,assets/models/walls/stone/cliff_cornerTop_rock.glb,no,walls
model,assets/models/walls/stone/cliff_cornerTop_stone.glb,no,walls
model,assets/models/walls/stone/cliff_halfCornerInner_rock.glb,no,walls
model,assets/models/walls/stone/cliff_halfCornerInner_stone.glb,no,walls
model,assets/models/walls/stone/cliff_halfCorner_rock.glb,no,walls
model,assets/models/walls/stone/cliff_halfCorner_stone.glb,no,walls
model,assets/models/walls/stone/cliff_stepsCornerInner_rock.glb,no,walls
model,assets/models/walls/stone/cliff_stepsCornerInner_stone.glb,no,walls
model,assets/models/walls/stone/cliff_stepsCorner_rock.glb,no,walls
model,assets/models/walls/stone/cliff_stepsCorner_stone.glb,no,walls
prefab,assets/prefabs/walls/arches/wall_arched.tscn,no,walls
prefab,assets/prefabs/walls/arches/wall_archedwindow_open.tscn,no,walls
prefab,assets/prefabs/walls/core/wall_stone_arch.tscn,no,walls
prefab,assets/prefabs/walls/core/wall_stone_corner.tscn,no,walls
prefab,assets/prefabs/walls/core/wall_stone_doorway.tscn,yes,doors
prefab,assets/prefabs/walls/core/wall_stone_straight.tscn,no,walls
prefab,assets/prefabs/walls/core/wall_stone_tsplit.tscn,no,walls
prefab,assets/prefabs/walls/corners/barrier_corner.tscn,no,walls
prefab,assets/prefabs/walls/corners/fence_corner.tscn,no,walls
prefab,assets/prefabs/walls/corners/wall_corner_scaffold.tscn,no,walls
prefab,assets/prefabs/walls/corners/wall_corner_small.tscn,no,walls
prefab,assets/prefabs/walls/corners/wall_corner.tscn,no,walls
prefab,assets/prefabs/walls/doors/fence_gate.tscn,yes,doors
prefab,assets/prefabs/walls/doors/wall_archedwindow_gated_scaffold.tscn,yes,doors
prefab,assets/prefabs/walls/doors/wall_archedwindow_gated.tscn,yes,doors
prefab,assets/prefabs/walls/doors/wall_corner_gated.tscn,yes,doors
prefab,assets/prefabs/walls/doors/wall_doorway_scaffold.tscn,yes,doors
prefab,assets/prefabs/walls/doors/wall_doorway_sides.tscn,yes,doors
prefab,assets/prefabs/walls/doors/wall_doorway.tscn,yes,doors
prefab,assets/prefabs/walls/doors/wall_doorway_Tsplit.tscn,yes,doors
prefab,assets/prefabs/walls/doors/wall_gated.tscn,yes,doors
prefab,assets/prefabs/walls/misc/stairs_walled.tscn,no,walls
prefab,assets/prefabs/walls/misc/stairs_wall_left.tscn,no,walls
prefab,assets/prefabs/walls/misc/stairs_wall_right.tscn,no,walls
prefab,assets/prefabs/walls/misc/wall_broken.tscn,no,walls
prefab,assets/prefabs/walls/misc/wall_cracked.tscn,no,walls
prefab,assets/prefabs/walls/misc/wall_crossing.tscn,no,walls
prefab,assets/prefabs/walls/misc/wall_endcap.tscn,no,walls
prefab,assets/prefabs/walls/misc/wall_half_endcap_sloped.tscn,no,walls
prefab,assets/prefabs/walls/misc/wall_half_endcap.tscn,no,walls
prefab,assets/prefabs/walls/misc/wall_half.tscn,no,walls
prefab,assets/prefabs/walls/misc/wall_open_scaffold.tscn,no,walls
prefab,assets/prefabs/walls/misc/wall_pillar.tscn,no,walls
prefab,assets/prefabs/walls/misc/wall_scaffold.tscn,no,walls
prefab,assets/prefabs/walls/misc/wall_shelves.tscn,no,walls
prefab,assets/prefabs/walls/misc/wall_sloped.tscn,no,walls
prefab,assets/prefabs/walls/misc/wall.tscn,no,walls
prefab,assets/prefabs/walls/misc/wall_Tsplit_sloped.tscn,no,walls
prefab,assets/prefabs/walls/misc/wall_Tsplit.tscn,no,walls
prefab,assets/prefabs/walls/misc/wall_window_closed_scaffold.tscn,no,walls
prefab,assets/prefabs/walls/misc/wall_window_closed.tscn,no,walls
prefab,assets/prefabs/walls/misc/wall_window_open_scaffold.tscn,no,walls
prefab,assets/prefabs/walls/misc/wall_window_open.tscn,no,walls
prefab,assets/prefabs/walls/stone/cliff_blockSlopeHalfWalls_rock.tscn,no,walls
prefab,assets/prefabs/walls/stone/cliff_blockSlopeHalfWalls_stone.tscn,no,walls
prefab,assets/prefabs/walls/stone/cliff_blockSlopeWalls_rock.tscn,no,walls
prefab,assets/prefabs/walls/stone/cliff_blockSlopeWalls_stone.tscn,no,walls
prefab,assets/prefabs/walls/stone/cliff_cornerInnerLarge_rock.tscn,no,walls
prefab,assets/prefabs/walls/stone/cliff_cornerInnerLarge_stone.tscn,no,walls
prefab,assets/prefabs/walls/stone/cliff_cornerInner_rock.tscn,no,walls
prefab,assets/prefabs/walls/stone/cliff_cornerInner_stone.tscn,no,walls
prefab,assets/prefabs/walls/stone/cliff_cornerInnerTop_rock.tscn,no,walls
prefab,assets/prefabs/walls/stone/cliff_cornerInnerTop_stone.tscn,no,walls
prefab,assets/prefabs/walls/stone/cliff_cornerLarge_rock.tscn,no,walls
prefab,assets/prefabs/walls/stone/cliff_cornerLarge_stone.tscn,no,walls
prefab,assets/prefabs/walls/stone/cliff_corner_rock.tscn,no,walls
prefab,assets/prefabs/walls/stone/cliff_corner_stone.tscn,no,walls
prefab,assets/prefabs/walls/stone/cliff_cornerTop_rock.tscn,no,walls
prefab,assets/prefabs/walls/stone/cliff_cornerTop_stone.tscn,no,walls
prefab,assets/prefabs/walls/stone/cliff_halfCornerInner_rock.tscn,no,walls
prefab,assets/prefabs/walls/stone/cliff_halfCornerInner_stone.tscn,no,walls
prefab,assets/prefabs/walls/stone/cliff_halfCorner_rock.tscn,no,walls
prefab,assets/prefabs/walls/stone/cliff_halfCorner_stone.tscn,no,walls
prefab,assets/prefabs/walls/stone/cliff_stepsCornerInner_rock.tscn,no,walls
prefab,assets/prefabs/walls/stone/cliff_stepsCornerInner_stone.tscn,no,walls
prefab,assets/prefabs/walls/stone/cliff_stepsCorner_rock.tscn,no,walls
prefab,assets/prefabs/walls/stone/cliff_stepsCorner_stone.tscn,no,walls
